Date,AAPL,GLD,JPM,MSFT,NVDA,SPY
2018-12-31,140014000,8449400,13237200,33173800,465140000,144299400
2019-01-02,148158800,12776200,15670900,35329300,508752000,126925200
2019-01-03,365248800,15440800,16286400,42579100,705552000,144140700
2019-01-04,234428400,13334000,16935200,44060600,585620000,142628800
2019-01-07,219111200,7473600,15430700,35656100,709160000,103139100
2019-01-08,164101200,7643100,13578800,31514400,786016000,102512600
2019-01-09,180396400,10555900,14230300,32280800,617260000,95006600
2019-01-10,143122800,6672000,14376100,30067600,523156000,96823900
2019-01-11,108092800,8622400,15439900,28314200,874764000,73858100
2019-01-14,129756800,6477100,21258500,28437100,730168000,70908200
2019-01-15,114843600,7512500,26504900,31587600,617012000,85208300
2019-01-16,122278800,6878100,18533000,29853900,470104000,77636700
2019-01-17,119284800,8558500,14247600,28393000,493436000,96118400
2019-01-18,135004000,10896000,16428700,37427600,651336000,127900300
2019-01-22,121576000,7896500,17083700,32371300,661552000,115531200
2019-01-23,92522400,5224900,12146700,25874300,591020000,86030300
2019-01-24,101766000,5662500,11296800,23164800,708972000,59204100
2019-01-25,134142000,11103300,14369400,31225600,1154572000,96883400
2019-01-28,104768400,8522200,12283100,29476700,2511528000,85613700
2019-01-29,166348800,11610200,9743300,31490500,1153932000,66136300
2019-01-30,244439200,12104000,12526300,49471900,974228000,92473700
2019-01-31,162958400,10209500,17520600,55636400,842852000,104012100
2019-02-01,130672400,12485500,13000800,35535700,625048000,85782500
2019-02-04,125982000,6878900,9871500,31315100,528592000,60744800
2019-02-05,144406400,6291100,12763000,27325400,542424000,79552800
2019-02-06,112958400,6595100,8745000,20609800,702464000,58347800
2019-02-07,126966800,5935500,13177500,29760700,637120000,95482000
2019-02-08,95280000,4235200,12892600,21461100,461604000,75788900
2019-02-11,83973600,4821800,10978500,18914100,495180000,68021400
2019-02-12,89134000,4271900,12852300,25056600,591060000,72270200
2019-02-13,89960800,7640500,10754100,18394900,605372000,65277200
2019-02-14,87342800,6276500,11518500,21784700,827264000,83234400
2019-02-15,98507200,12190100,14716900,26606900,1516748000,97088700
2019-02-19,75891200,15614000,12764900,18038500,551892000,59120800
2019-02-20,104457600,8889700,10030300,21607700,540988000,76610800
2019-02-21,68998800,8634600,8400100,29063200,448548000,64214700
2019-02-22,75652800,5439400,10647300,27763200,401740000,78114600
2019-02-25,87493600,4882600,11230700,23750600,656020000,69030700
2019-02-26,68280800,5153200,15465400,21536700,488464000,56844100
2019-02-27,111341600,7935600,9968800,21487100,500256000,56921600
2019-02-28,112861600,7811700,15156900,29083900,324944000,69268300
2019-03-01,103544800,16411700,13813300,23501200,357188000,78880500
2019-03-04,109744800,10272600,12466300,26608000,409992000,106494600
2019-03-05,78949600,7120100,10856600,19538300,362924000,59114600
2019-03-06,83241600,4820400,9070800,17687000,403524000,75039800
2019-03-07,99185600,6088800,12705700,25339000,450104000,94885100
2019-03-08,95997600,10427700,10582400,22818400,422416000,85795800
2019-03-11,128044000,6708700,9763200,26491600,859728000,65098900
2019-03-12,129870400,6289900,10219100,26132700,579576000,79667500
2019-03-13,124130000,7377300,13022200,35513800,768900000,80639200
2019-03-14,94318000,6778200,10926500,30763400,519384000,67518400
2019-03-15,156171600,9412000,24811700,54681100,661484000,81309000
2019-03-18,104879200,7783200,12935500,31207600,486992000,62199800
2019-03-19,126585600,6558700,12889300,37588700,854972000,90268100
2019-03-20,124140800,11304900,14920700,28113300,719148000,84609200
2019-03-21,204136800,7739800,19751000,29854400,824312000,79550400
2019-03-22,169630800,5874000,31115200,33624500,747644000,122659300
